"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"793104077370626048","","","2016-10-31 14:55:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/ZVnIwN7lwb","","","","http://ift.tt/2e5aPfa"
"793066581983133696","","","2016-10-31 12:26:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/N70xwESLBj","","","","http://ift.tt/2eLlz6E"
"793032092632383489","","","2016-10-31 10:09:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Cheese &amp; Onion crisps of 2016 (Caution: Contents may not be hot) https://t.co/yoripCkL64","","","","http://ift.tt/2e4jiPN"
"793005926169079808","","","2016-10-31 08:25:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Ready Salted crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/US4p8OlBx2","","","","http://ift.tt/2fkWS2T"
"792965673324539904","","","2016-10-31 05:45:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Cheese &amp; Onion crisps you'll ever taste https://t.co/y4tsKYbmje","","","","http://ift.tt/2fuQFAA"
"792963640764792832","","","2016-10-31 05:37:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/nLRfo32RfM","","","","http://ift.tt/2flsK7g"
"792901994969178113","","","2016-10-31 01:32:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/y4tsKYbmje","","","","http://ift.tt/2fuQFAA"
"792883367612182528","","","2016-10-31 00:18:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/US4p8OlBx2","","","","http://ift.tt/2fkWS2T"
"792745959012831237","","","2016-10-30 15:12:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/jDft34smoj","","","","http://ift.tt/2enHGwG"
"792732877721042945","","","2016-10-30 14:20:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Cheese &amp; Onion crisps https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792731118898470912","","","2016-10-30 14:13:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Cheese &amp; Onion crisps of 2016 (Caution: Contents may not be hot) https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792721799226224640","","","2016-10-30 13:36:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Salt &amp; Vinegar crisps you'll ever taste https://t.co/sbQTqJ0q7n","","","","http://ift.tt/2ft1a7r"
"792719285747589120","","","2016-10-30 13:26:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792714505381875712","","","2016-10-30 13:07:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Prawn Cocktail crisps of 2016 (Caution: Contents may not be hot) https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792706952937758721","","","2016-10-30 12:37:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Salt &amp; Vinegar crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/sbQTqJ0q7n","","","","http://ift.tt/2ft1a7r"
"792702929803309057","","","2016-10-30 12:21:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Salt &amp; Vinegar crisps? This machine https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792698657128771584","","","2016-10-30 12:04:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Salt &amp; Vinegar crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/jDft34smoj","","","","http://ift.tt/2enHGwG"
"792685830187978752","","","2016-10-30 11:13:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Salt &amp; Vinegar crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/kNarWE1YFv","","","","http://ift.tt/2fsVISa"
"792644795550367745","","","2016-10-30 08:30:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/YbORD0O2KH","","","","http://ift.tt/2f534qt"
"792418563025960960","","","2016-10-29 17:31:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/IceG7rHZwa","","","","http://ift.tt/2f30e5t"
"792405216339558400","","","2016-10-29 16:38:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/IceG7rHZwa","","","","http://ift.tt/2f30e5t"
"792399682043514881","","","2016-10-29 16:16:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Cheese &amp; Onion crisps https://t.co/IceG7rHZwa","","","","http://ift.tt/2f30e5t"
"792398172291293184","","","2016-10-29 16:10:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Prawn Cocktail crisps you'll ever taste https://t.co/IceG7rHZwa","","","","http://ift.tt/2f30e5t"
"792397169177354241","","","2016-10-29 16:06:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Prawn Cocktail crisps? This machine https://t.co/4AYdspLTCQ","","","","http://ift.tt/2fqItB5"
